BM25_Stopping_Unigram_Case-folded

+----------+-------------+----------------------+--------+
| Query ID | Document ID |      Precision       | Recall |
+----------+-------------+----------------------+--------+
|    1     |  CACM-2380  |         0.0          |  0.0   |
|    1     |  CACM-1523  |         0.0          |  0.0   |
|    1     |  CACM-1410  |  0.3333333333333333  |  0.2   |
|    1     |  CACM-1519  |         0.25         |  0.2   |
|    1     |  CACM-1605  |         0.4          |  0.4   |
|    1     |  CACM-2371  |  0.3333333333333333  |  0.4   |
|    1     |  CACM-2319  |  0.2857142857142857  |  0.4   |
|    1     |  CACM-2379  |         0.25         |  0.4   |
|    1     |  CACM-1506  |  0.2222222222222222  |  0.4   |
|    1     |  CACM-1544  |         0.2          |  0.4   |
|    1     |  CACM-3025  | 0.18181818181818182  |  0.4   |
|    1     |  CACM-1749  | 0.16666666666666666  |  0.4   |
|    1     |  CACM-1938  | 0.15384615384615385  |  0.4   |
|    1     |  CACM-0971  | 0.14285714285714285  |  0.4   |
|    1     |  CACM-2358  |         0.2          |  0.6   |
|    1     |  CACM-2632  |        0.1875        |  0.6   |
|    1     |  CACM-1591  | 0.17647058823529413  |  0.6   |
|    1     |  CACM-1753  | 0.16666666666666666  |  0.6   |
|    1     |  CACM-2740  | 0.15789473684210525  |  0.6   |
|    1     |  CACM-1680  |         0.15         |  0.6   |
|    1     |  CACM-0585  | 0.14285714285714285  |  0.6   |
|    1     |  CACM-2951  | 0.13636363636363635  |  0.6   |
|    1     |  CACM-1179  | 0.13043478260869565  |  0.6   |
|    1     |  CACM-3127  |        0.125         |  0.6   |
|    1     |  CACM-2629  |         0.12         |  0.6   |
|    1     |  CACM-2357  | 0.11538461538461539  |  0.6   |
|    1     |  CACM-1960  |  0.1111111111111111  |  0.6   |
|    1     |  CACM-1033  | 0.10714285714285714  |  0.6   |
|    1     |  CACM-3048  | 0.10344827586206896  |  0.6   |
|    1     |  CACM-0414  |         0.1          |  0.6   |
|    1     |  CACM-1168  |  0.0967741935483871  |  0.6   |
|    1     |  CACM-1161  |       0.09375        |  0.6   |
|    1     |  CACM-1647  | 0.09090909090909091  |  0.6   |
|    1     |  CACM-1304  | 0.08823529411764706  |  0.6   |
|    1     |  CACM-1315  | 0.08571428571428572  |  0.6   |
|    1     |  CACM-2947  | 0.08333333333333333  |  0.6   |
|    1     |  CACM-1264  | 0.08108108108108109  |  0.6   |
|    1     |  CACM-1464  | 0.07894736842105263  |  0.6   |
|    1     |  CACM-1195  | 0.07692307692307693  |  0.6   |
|    1     |  CACM-2621  |        0.075         |  0.6   |
|    1     |  CACM-0098  | 0.07317073170731707  |  0.6   |
|    1     |  CACM-1526  | 0.07142857142857142  |  0.6   |
|    1     |  CACM-1225  | 0.06976744186046512  |  0.6   |
|    1     |  CACM-2317  | 0.06818181818181818  |  0.6   |
|    1     |  CACM-1657  | 0.06666666666666667  |  0.6   |
|    1     |  CACM-2624  | 0.06521739130434782  |  0.6   |
|    1     |  CACM-1341  | 0.06382978723404255  |  0.6   |
|    1     |  CACM-2054  |        0.0625        |  0.6   |
|    1     |  CACM-1805  | 0.061224489795918366 |  0.6   |
|    1     |  CACM-2424  |         0.06         |  0.6   |
|    1     |  CACM-1236  | 0.058823529411764705 |  0.6   |
|    1     |  CACM-1173  | 0.057692307692307696 |  0.6   |
|    1     |  CACM-0637  | 0.05660377358490566  |  0.6   |
|    1     |  CACM-1844  | 0.05555555555555555  |  0.6   |
|    1     |  CACM-1685  | 0.05454545454545454  |  0.6   |
|    1     |  CACM-2372  | 0.05357142857142857  |  0.6   |
|    1     |  CACM-3089  | 0.05263157894736842  |  0.6   |
|    1     |  CACM-2188  | 0.05172413793103448  |  0.6   |
|    1     |  CACM-1163  | 0.05084745762711865  |  0.6   |
|    1     |  CACM-1885  |         0.05         |  0.6   |
|    1     |  CACM-2626  | 0.04918032786885246  |  0.6   |
|    1     |  CACM-1034  | 0.04838709677419355  |  0.6   |
|    1     |  CACM-0271  | 0.047619047619047616 |  0.6   |
|    1     |  CACM-2535  |       0.046875       |  0.6   |
|    1     |  CACM-2597  | 0.046153846153846156 |  0.6   |
|    1     |  CACM-2868  | 0.045454545454545456 |  0.6   |
|    1     |  CACM-1827  | 0.04477611940298507  |  0.6   |
|    1     |  CACM-1046  | 0.04411764705882353  |  0.6   |
|    1     |  CACM-1393  | 0.043478260869565216 |  0.6   |
|    1     |  CACM-1750  | 0.04285714285714286  |  0.6   |
|    1     |  CACM-2920  | 0.04225352112676056  |  0.6   |
|    1     |  CACM-2219  | 0.041666666666666664 |  0.6   |
|    1     |  CACM-2946  |  0.0410958904109589  |  0.6   |
|    1     |  CACM-2681  | 0.04054054054054054  |  0.6   |
|    1     |  CACM-1642  |         0.04         |  0.6   |
|    1     |  CACM-2796  | 0.039473684210526314 |  0.6   |
|    1     |  CACM-1542  | 0.03896103896103896  |  0.6   |
|    1     |  CACM-1712  | 0.038461538461538464 |  0.6   |
|    1     |  CACM-2542  |  0.0379746835443038  |  0.6   |
|    1     |  CACM-3137  |        0.0375        |  0.6   |
|    1     |  CACM-1755  | 0.037037037037037035 |  0.6   |
|    1     |  CACM-1697  | 0.036585365853658534 |  0.6   |
|    1     |  CACM-1472  | 0.03614457831325301  |  0.6   |
|    1     |  CACM-1752  | 0.03571428571428571  |  0.6   |
|    1     |  CACM-2541  | 0.03529411764705882  |  0.6   |
|    1     |  CACM-1572  | 0.046511627906976744 |  0.8   |
|    1     |  CACM-2370  | 0.04597701149425287  |  0.8   |
|    1     |  CACM-2950  | 0.045454545454545456 |  0.8   |
|    1     |  CACM-2948  |  0.0449438202247191  |  0.8   |
|    1     |  CACM-1534  | 0.044444444444444446 |  0.8   |
|    1     |  CACM-2080  | 0.04395604395604396  |  0.8   |
|    1     |  CACM-3068  | 0.043478260869565216 |  0.8   |
|    1     |  CACM-0617  | 0.043010752688172046 |  0.8   |
|    1     |  CACM-2892  |  0.0425531914893617  |  0.8   |
|    1     |  CACM-3112  | 0.042105263157894736 |  0.8   |
|    1     |  CACM-1462  | 0.041666666666666664 |  0.8   |
|    1     |  CACM-2878  | 0.041237113402061855 |  0.8   |
|    1     |  CACM-2984  | 0.04081632653061224  |  0.8   |
|    1     |  CACM-1626  | 0.04040404040404041  |  0.8   |
|    1     |  CACM-2840  |         0.04         |  0.8   |
+----------+-------------+----------------------+--------+

+----------+---------------+----------------+
| Query ID | Precision @ 5 | Precision @ 20 |
+----------+---------------+----------------+
|    1     |      0.4      |      0.15      |
+----------+---------------+----------------+



Mean Average Precision: 
0.5460163595363483

