tf-idf_Stopping_Unigram_Case-folded

+----------+-------------+----------------------+--------+
| Query ID | Document ID |      Precision       | Recall |
+----------+-------------+----------------------+--------+
|    1     |  CACM-2685  |         0.0          |  0.0   |
|    1     |  CACM-2319  |         0.0          |  0.0   |
|    1     |  CACM-1069  |         0.0          |  0.0   |
|    1     |  CACM-2796  |         0.0          |  0.0   |
|    1     |  CACM-2380  |         0.0          |  0.0   |
|    1     |  CACM-0031  |         0.0          |  0.0   |
|    1     |  CACM-0098  |         0.0          |  0.0   |
|    1     |  CACM-2379  |         0.0          |  0.0   |
|    1     |  CACM-2371  |         0.0          |  0.0   |
|    1     |  CACM-1523  |         0.0          |  0.0   |
|    1     |  CACM-2629  |         0.0          |  0.0   |
|    1     |  CACM-1755  |         0.0          |  0.0   |
|    1     |  CACM-0067  |         0.0          |  0.0   |
|    1     |  CACM-1461  |         0.0          |  0.0   |
|    1     |  CACM-2607  |         0.0          |  0.0   |
|    1     |  CACM-2740  |         0.0          |  0.0   |
|    1     |  CACM-1168  |         0.0          |  0.0   |
|    1     |  CACM-0061  |         0.0          |  0.0   |
|    1     |  CACM-0414  |         0.0          |  0.0   |
|    1     |  CACM-0866  |         0.0          |  0.0   |
|    1     |  CACM-0999  |         0.0          |  0.0   |
|    1     |  CACM-1107  |         0.0          |  0.0   |
|    1     |  CACM-0704  |         0.0          |  0.0   |
|    1     |  CACM-1304  |         0.0          |  0.0   |
|    1     |  CACM-1519  |         0.0          |  0.0   |
|    1     |  CACM-0135  |         0.0          |  0.0   |
|    1     |  CACM-0148  |         0.0          |  0.0   |
|    1     |  CACM-1106  |         0.0          |  0.0   |
|    1     |  CACM-2917  |         0.0          |  0.0   |
|    1     |  CACM-0887  |         0.0          |  0.0   |
|    1     |  CACM-1749  |         0.0          |  0.0   |
|    1     |  CACM-0118  |         0.0          |  0.0   |
|    1     |  CACM-0163  |         0.0          |  0.0   |
|    1     |  CACM-3068  |         0.0          |  0.0   |
|    1     |  CACM-1591  |         0.0          |  0.0   |
|    1     |  CACM-0433  |         0.0          |  0.0   |
|    1     |  CACM-0157  |         0.0          |  0.0   |
|    1     |  CACM-0189  |         0.0          |  0.0   |
|    1     |  CACM-1735  |         0.0          |  0.0   |
|    1     |  CACM-0050  |         0.0          |  0.0   |
